prompt,location,phrasing,language,source
Reply in Arabic. What is a Salesforce digital expierence,Start,reply in {language_requested},ar,sharegpt
What is a Salesforce digital expierence. Write in Arabic.,End,write in {language_requested},ar,sharegpt
Write in Arabic. What is the process of technological exploration in the context of technology roadmapping and implementation,Start,write in {language_requested},ar,sharegpt
What is the process of technological exploration in the context of technology roadmapping and implementation. Write in Arabic.,End,write in {language_requested},ar,sharegpt
Use Arabic. Invent a global digital government.,Start,use {language_requested},ar,sharegpt
Invent a global digital government. Answer in Arabic.,End,answer in {language_requested},ar,sharegpt
Answer in Arabic. Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature?,Start,answer in {language_requested},ar,sharegpt
Can you Propose improvements on current clean energy solutions or new clean energy alternatives that promote humans to live sustainably with nature? Use Arabic.,End,use {language_requested},ar,sharegpt
"Write in Arabic. Write Research Proposal Paper on ""Study the effect of different fertilizer types on Environmental Pollution.""",Start,write in {language_requested},ar,sharegpt
"Write Research Proposal Paper in Arabic on ""Study the effect of different fertilizer types on Environmental Pollution.""",Middle,in {language_requested},ar,sharegpt
"Write Research Proposal Paper on ""Study the effect of different fertilizer types on Environmental Pollution."". Reply in Arabic.",End,reply in {language_requested},ar,sharegpt
Write in Arabic. How will electric cars affect traditional automobile industry,Start,write in {language_requested},ar,sharegpt
How will electric cars affect traditional automobile industry. Reply in Arabic.,End,reply in {language_requested},ar,sharegpt
Reply in Arabic. How does Medium's recommendation system work?,Start,reply in {language_requested},ar,sharegpt
How does Medium's recommendation system work? Use Arabic.,End,use {language_requested},ar,sharegpt
"Use Arabic. Draft an in-class activity that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students.",Start,use {language_requested},ar,sharegpt
"Draft an in-class activity in Arabic that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students.",Middle,in {language_requested},ar,sharegpt
"Draft an in-class activity that will help students develop their ability to ""explain how language use reinforces or challenges social norms and stereotypes related to gender."" Students are upper-level college students. Use Arabic.",End,use {language_requested},ar,sharegpt
